#! Run[i,0]/ sHB_P[f,1]/ sQ1_P[f,2]/ sQ2_P[f,3]/ sQ3_P[f,4]/ sD_P[f,5]/ Angle[f,6]/ Target[s,7]/ Target_Mass[f,8]/ ppartmass[f,9]/ Raster[s,10]/ Collimator[s,11]/ TFE[f,12]/ Ps1[f,13]/ Ps2[f,14]/ Ps3[f,15]/ Ps4[f,16]/ Ps5[f,17]/ Ps6[f,18]/ shms_xMisPoint[f,19]/ shms_yMisPoint[f,20]/ 
1689 2.177 2.177 2.177 2.1771 2.177 7.449 LH2 1.00794 0.00051099 3x3 Coll 2.21474 5 -1 -1 -1 -1 -1 -0.126 -0.06 
1691 2.177 2.177 2.177 2.1771 2.177 7.449 LH2 1.00794 0.00051099 3x3 Coll 2.21474 5 -1 -1 -1 -1 -1 -0.126 -0.06 
1793 6.017 6.0174 6.017 6.0707 6.017 7.985 LH2 1.00794 0.00051099 2x2 Coll 6.40341 65 -1 -1 -1 -1 -1 -0.126 -0.06 
2071 5.074 5.0743 5.074 5.1066 5.074 16.023 LH2 1.00794 0.00051099 2x2 Coll 6.40425 1 -1 -1 -1 -1 -1 -0.126 -0.06 
2072 5.074 5.0743 5.074 5.1066 5.074 16.023 LH2 1.00794 0.00051099 2x2 Coll 6.40424 65 -1 -1 -1 -1 -1 -0.126 -0.06 
2073 4.522 4.5224 4.522 4.5445 4.522 20.032 LH2 1.00794 0.00051099 2x2 Coll 6.40426 65 -1 -1 -1 -1 -1 -0.126 -0.06 
2074 4.522 4.5224 4.522 4.5445 4.522 20.032 LH2 1.00794 0.00051099 2x2 Coll 6.40427 9 -1 -1 -1 -1 -1 -0.126 -0.06 
2085 3.349 3.3492 3.349 3.3561 3.349 30.059 LH2 1.00794 0.00051099 2x2 Coll 6.40438 -1 -1 1 -1 -1 -1 -0.126 -0.06 
2086 3.349 3.3492 3.349 3.3561 3.349 30.059 LH2 1.00794 0.00051099 2x2 Coll 6.40438 1 -1 -1 -1 -1 -1 -0.126 -0.06 
2087 2.869 2.8691 2.869 2.8723 2.869 35.046 LH2 1.00794 0.00051099 2x2 Coll 6.40437 1 -1 -1 -1 -1 -1 -0.126 -0.06 
2088 2.869 2.8691 2.869 2.8723 2.869 35.046 LH2 1.00794 0.00051099 2x2 Coll 6.40438 -1 1 -1 -1 -1 -1 -0.126 -0.06 
