#1D Bin Information for binInfo_sysEm_tight.txt
#bin: bin id 
#xbin: xvalue at bin center 
#xlow: xvalue at lower bin edge 
#xup: xvalue at upper bin edge 
#binw: bin width 
#nbins: total number of bins 


#comments: Bin Information for Systematics Studies using tight Emiss cuts on  Yield Ratio for Deuteron 80 MeV.

#!bin[i,0]/   xbin[f,1]/    xlow[f,2]/    xup[f,3]/    binCont[f,2]/   binCont_err[f,3]/  binw[i,4]/   nbins[i, 5]/
1           0.02              0           0.04        1.60347       0.490198              0             30
2           0.06           0.04           0.08       0.935582      0.0746296              0             30
3            0.1           0.08           0.12       0.899379      0.0475644              0             30
4           0.14           0.12           0.16       0.962492      0.0598562              0             30
5           0.18           0.16            0.2       0.815313      0.0840386              0             30
6           0.22            0.2           0.24       0.684683       0.130206              0             30
7           0.26           0.24           0.28       0.928659       0.248964              0             30
8            0.3           0.28           0.32       0.630165       0.315355              0             30
9           0.34           0.32           0.36        0.38488       0.384978              0             30
10           0.38           0.36            0.4        1.83954        1.30165              0             30
11           0.42            0.4           0.44              0              0              0             30
12           0.46           0.44           0.48        7.03366        7.04174              0             30
13            0.5           0.48           0.52              0              0              0             30
14           0.54           0.52           0.56              0              0              0             30
15           0.58           0.56            0.6              0              0              0             30
16           0.62            0.6           0.64              0              0              0             30
17           0.66           0.64           0.68              0              0              0             30
18            0.7           0.68           0.72              0              0              0             30
19           0.74           0.72           0.76              0              0              0             30
20           0.78           0.76            0.8              0              0              0             30
21           0.82            0.8           0.84              0              0              0             30
22           0.86           0.84           0.88              0              0              0             30
23            0.9           0.88           0.92              0              0              0             30
24           0.94           0.92           0.96              0              0              0             30
25           0.98           0.96              1              0              0              0             30
26           1.02              1           1.04              0              0              0             30
27           1.06           1.04           1.08              0              0              0             30
28            1.1           1.08           1.12              0              0              0             30
29           1.14           1.12           1.16              0              0              0             30
30           1.18           1.16            1.2              0              0              0             30
